The new "social choice" fund will shun securities of companies linked to South Africa, nuclear power and in some cases, Northern Ireland	excluded will be investments in companies with "significant" business stemming from weapons manufacture, alcoholic beverages or tobacco	3
The bond fund will invest in high-grade or medium-grade bonds, mortgages or asset-backed securities, including as much as 15% in foreign securities	The fund might buy and sell futures and options contracts, subject to approval by the New York State Insurance Department	3
or receive cash from the funds	their jobs are terminated	2
Solo woodwind players have to be creative	they want to work a lot	2
Solo woodwind players have to be creative if they want to work a lot	their repertoire and audience appeal are limited	2
He commissions and splendidly interprets fearsome contemporary scores and does some conducting	he doesn't have to play the same Mozart and Strauss concertos over and over again	2
Today, the pixie-like clarinetist has mostly dropped the missionary work	a touch of the old Tashi still survives	1
Just the thing for the Vivaldi-at-brunch set, the yuppie audience that has embraced New Age as its very own easy listening	you can't dismiss Mr. Stoltzman's music or his motives as merely commercial and lightweight	1
He believes in what he plays	he plays superbly	3
that his new album, "Inner Voices," had just been released, that his family was in the front row	that it was his mother's birthday	3
and that it was his mother's birthday	he was going to play her favorite tune from the record	2
He launched into Saint-Saens's "The Swan" from "Carnival of the Animals," a favorite encore piece for cellists, with lovely, glossy tone and no bite	he offered the second movement from Saint-Saens's Sonata for Clarinet, a whimsical, puckish tidbit that reflected the flip side of the Stoltzman personality	4
Then he offered the second movement from Saint-Saens's Sonata for Clarinet, a whimsical, puckish tidbit that reflected the flip side of the Stoltzman personality	to show that he could play fast as well	3
Then, as if to show that he could play fast as well, he offered the second movement from Saint-Saens's Sonata for Clarinet, a whimsical, puckish tidbit that reflected the flip side of the Stoltzman personality	so it went through the first half: an ingeniously chosen potpourri of pieces, none longer than five minutes, none that would disturb or challenge a listener	3
Mr. Stoltzman tied the composer in by proclaiming him "the great improviser of the 18th century	and built on the image by joining with Mr. Douglas in some Bach two-part inventions	4
and then built on the image by joining with Mr. Douglas in some Bach two-part inventions	the two chanted and chortled their way through some murderous polyrhythms	4
the two then chanted and chortled their way through some murderous polyrhythms	and with Mr. Gomez, soared and improvised on the composer's tight "Bebop Etudes	4
And so it went through the first half: an ingeniously chosen potpourri of pieces, none longer than five minutes, none that would disturb or challenge a listener	The end of the first half brought what the standing-room-only crowd seemed to be waiting for: the pop singer Judy Collins	1
